"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PIK3CA",4.64193134715831e-28,0.871567439091932,0.289,0.25,1.59914534909604e-23,"Monocyte_CD14highCD16low","PIK3CA"
"ELF2",5.38277758927642e-28,0.769078705697393,0.491,0.503,1.85436687950573e-23,"Monocyte_CD14highCD16low","ELF2"
"PPFIA1",5.43222619771736e-28,0.785587510614867,0.302,0.26,1.87140192511363e-23,"Monocyte_CD14highCD16low","PPFIA1"
"ZNF148",5.92584586663576e-28,0.688762907312246,0.426,0.402,2.04145390105602e-23,"Monocyte_CD14highCD16low","ZNF148"
"RLF",9.13831414888893e-28,0.815980324281798,0.273,0.228,3.14814922429224e-23,"Monocyte_CD14highCD16low","RLF"
"PHF20L1",1.18770515212025e-27,0.764758084921828,0.419,0.412,4.09164424905426e-23,"Monocyte_CD14highCD16low","PHF20L1"
"CLEC12A",1.33640794383819e-27,0.401092742405879,0.716,0.803,4.60392536652256e-23,"Monocyte_CD14highCD16low","CLEC12A"
"HSD17B11",1.36301630461531e-27,0.525486144573523,0.599,0.652,4.69559116939974e-23,"Monocyte_CD14highCD16low","HSD17B11"
"ZNF292",1.45214666850624e-27,0.71685838996978,0.378,0.346,5.00264527300401e-23,"Monocyte_CD14highCD16low","ZNF292"
"FBXL20",1.64294428114959e-27,0.685180029809776,0.324,0.281,5.65994304856033e-23,"Monocyte_CD14highCD16low","FBXL20"
"OGT",2.40808472017756e-27,0.655057123812278,0.382,0.351,8.29585186101169e-23,"Monocyte_CD14highCD16low","OGT"
"HNRNPC",2.79881390725068e-27,0.346550880553008,0.739,0.842,9.64191391047858e-23,"Monocyte_CD14highCD16low","HNRNPC"
"CELF2",2.88198682235318e-27,0.334612261920375,0.711,0.777,9.92844460300671e-23,"Monocyte_CD14highCD16low","CELF2"
"AGTRAP",5.04235664070263e-27,0.529101765882695,0.573,0.615,1.73709186272206e-22,"Monocyte_CD14highCD16low","AGTRAP"
"SSH2",5.40575419237251e-27,0.482687540522653,0.628,0.676,1.86228231927233e-22,"Monocyte_CD14highCD16low","SSH2"
"NUP58",6.34452331602215e-27,0.87905935144694,0.27,0.232,2.18568828236963e-22,"Monocyte_CD14highCD16low","NUP58"
"TGFBI",7.54277340499765e-27,0.504641771507657,0.559,0.602,2.59848543802169e-22,"Monocyte_CD14highCD16low","TGFBI"
"TM9SF3",1.11377002297499e-26,0.667868811278102,0.392,0.373,3.83693772914884e-22,"Monocyte_CD14highCD16low","TM9SF3"
"ZFYVE16",1.50779594333046e-26,0.830623084629477,0.316,0.282,5.19435702477344e-22,"Monocyte_CD14highCD16low","ZFYVE16"
"ZNF638",1.67073603283893e-26,0.642058574546333,0.424,0.406,5.75568563313012e-22,"Monocyte_CD14highCD16low","ZNF638"
"LAMP2",1.98848051006993e-26,0.668677536208421,0.454,0.457,6.8503153571909e-22,"Monocyte_CD14highCD16low","LAMP2"
"DNAJC5",2.18515989778452e-26,0.70430154211509,0.341,0.309,7.52787584786766e-22,"Monocyte_CD14highCD16low","DNAJC5"
"MAP3K3",2.32894187522551e-26,0.628814289974688,0.458,0.452,8.02320476015189e-22,"Monocyte_CD14highCD16low","MAP3K3"
"CSGALNACT2",3.77556639601118e-26,0.562009972749905,0.466,0.459,1.30068262342585e-21,"Monocyte_CD14highCD16low","CSGALNACT2"
"CHIC2",4.46592976705472e-26,0.898682730972503,0.321,0.292,1.53851280475035e-21,"Monocyte_CD14highCD16low","CHIC2"
"CDYL",8.2958956197202e-26,0.649688866459848,0.315,0.276,2.85793604099361e-21,"Monocyte_CD14highCD16low","CDYL"
"CREB1",8.66728266732562e-26,0.810122145206311,0.373,0.352,2.98587887889368e-21,"Monocyte_CD14highCD16low","CREB1"
"TNFAIP8",9.25668887007263e-26,0.655905209787461,0.444,0.434,3.18892931574002e-21,"Monocyte_CD14highCD16low","TNFAIP8"
"RREB1",1.26988509830896e-25,0.621818454708997,0.38,0.351,4.37475416367438e-21,"Monocyte_CD14highCD16low","RREB1"
"ITCH",1.30999847861829e-25,0.593845766139488,0.4,0.365,4.51294475884e-21,"Monocyte_CD14highCD16low","ITCH"
"TLR8",1.89539028717442e-25,0.81493915375008,0.292,0.256,6.52961953931587e-21,"Monocyte_CD14highCD16low","TLR8"
"NDE1",2.34930808519993e-25,0.879228059728286,0.265,0.226,8.09336635351375e-21,"Monocyte_CD14highCD16low","NDE1"
"UHRF1BP1L",2.41134984357244e-25,0.774638335490641,0.332,0.3,8.30710021110704e-21,"Monocyte_CD14highCD16low","UHRF1BP1L"
"ARNT",2.61746592097304e-25,0.886168615977784,0.252,0.213,9.01717009775212e-21,"Monocyte_CD14highCD16low","ARNT"
"PPP1R12A",4.44418670992878e-25,0.583475389174086,0.547,0.575,1.53102232157047e-20,"Monocyte_CD14highCD16low","PPP1R12A"
"FBXO34",4.70847151379249e-25,0.9048980417981,0.254,0.213,1.62206843650151e-20,"Monocyte_CD14highCD16low","FBXO34"
"TAOK1",4.75965798499572e-25,0.545457556923804,0.458,0.447,1.63970217583103e-20,"Monocyte_CD14highCD16low","TAOK1"
"IFI16",5.55897845730147e-25,0.516740980849252,0.613,0.66,1.91506807854036e-20,"Monocyte_CD14highCD16low","IFI16"
"KDM4C",7.09254308639248e-25,0.540139126112779,0.379,0.34,2.44338109326221e-20,"Monocyte_CD14highCD16low","KDM4C"
"PIK3R5",7.61285930936095e-25,0.609518811331979,0.401,0.371,2.62263003207485e-20,"Monocyte_CD14highCD16low","PIK3R5"
"SSBP2",9.04245896663339e-25,0.693338697186089,0.37,0.339,3.1151271140052e-20,"Monocyte_CD14highCD16low","SSBP2"
"STAG1",1.31505754448769e-24,0.57589422154067,0.412,0.379,4.53037324076008e-20,"Monocyte_CD14highCD16low","STAG1"
"RBM33",1.93219145745561e-24,0.723443411762913,0.399,0.383,6.65639957093458e-20,"Monocyte_CD14highCD16low","RBM33"
"USP32",1.94487984847473e-24,0.699222461784746,0.426,0.403,6.70011107799544e-20,"Monocyte_CD14highCD16low","USP32"
"NORAD",2.32943958784981e-24,0.662435366270237,0.415,0.406,8.02491938014261e-20,"Monocyte_CD14highCD16low","NORAD"
"AP1G1",4.92717503534351e-24,0.862537399065216,0.28,0.244,1.69741179967584e-19,"Monocyte_CD14highCD16low","AP1G1"
"ARID2",5.16452059707033e-24,0.702537220291912,0.331,0.296,1.77917734569073e-19,"Monocyte_CD14highCD16low","ARID2"
"KDM4B",5.53070562995585e-24,0.760956757512327,0.255,0.214,1.90532808951979e-19,"Monocyte_CD14highCD16low","KDM4B"
"LARP4B",6.2615926161575e-24,0.538837957441182,0.409,0.378,2.15711865626626e-19,"Monocyte_CD14highCD16low","LARP4B"
"UTY",1.4748357617386e-23,0.542299582046767,0.258,0.21,5.08080919918947e-19,"Monocyte_CD14highCD16low","UTY"
"TCF12",1.59544336533683e-23,0.403562629323847,0.411,0.371,5.49630239358538e-19,"Monocyte_CD14highCD16low","TCF12"
"SNHG25",1.73885001383593e-23,0.250008123607952,0.256,0.338,5.99033829766478e-19,"Monocyte_CD14highCD16low","SNHG25"
"MCTP1",2.79002537657301e-23,0.400411190457944,0.501,0.487,9.61163742229401e-19,"Monocyte_CD14highCD16low","MCTP1"
"MLLT10",2.92119389090776e-23,0.618955848091472,0.344,0.312,1.00635129541772e-18,"Monocyte_CD14highCD16low","MLLT10"
"GMDS",3.02143668493011e-23,0.705436338989359,0.256,0.215,1.04088493795842e-18,"Monocyte_CD14highCD16low","GMDS"
"BTAF1",3.05051258182999e-23,0.616685932122488,0.289,0.248,1.05090158444043e-18,"Monocyte_CD14highCD16low","BTAF1"
"SLC8A1",3.22364542058978e-23,0.291219775778691,0.585,0.591,1.11054584739318e-18,"Monocyte_CD14highCD16low","SLC8A1"
"NRBF2",4.20114648055212e-23,0.250729252175943,0.274,0.354,1.4472949625502e-18,"Monocyte_CD14highCD16low","NRBF2"
"B4GALT1",4.81186248921909e-23,0.636927569839062,0.374,0.35,1.65768662753597e-18,"Monocyte_CD14highCD16low","B4GALT1"
"MBD5",5.07172621038246e-23,0.672114382689508,0.334,0.297,1.74720967947676e-18,"Monocyte_CD14highCD16low","MBD5"
"FRY",5.65762336927051e-23,0.380932913124938,0.431,0.392,1.94905125071369e-18,"Monocyte_CD14highCD16low","FRY"
"EMILIN2",6.5360499645227e-23,0.425708773636937,0.478,0.469,2.25166921277807e-18,"Monocyte_CD14highCD16low","EMILIN2"
"DNAJC13",7.00767090411813e-23,0.666258591237531,0.322,0.291,2.4141426264687e-18,"Monocyte_CD14highCD16low","DNAJC13"
"VAPA",7.94700579827019e-23,0.457886194771127,0.649,0.733,2.73774349750408e-18,"Monocyte_CD14highCD16low","VAPA"
"SNX13",8.81280460151035e-23,0.72401193783847,0.325,0.293,3.03601118522032e-18,"Monocyte_CD14highCD16low","SNX13"
"FAM111A",1.08092599430694e-22,0.733038800008959,0.276,0.241,3.72379005038742e-18,"Monocyte_CD14highCD16low","FAM111A"
"BPTF",1.16356891020125e-22,0.541112267045898,0.497,0.505,4.0084948956433e-18,"Monocyte_CD14highCD16low","BPTF"
"ALPK1",1.24480103691908e-22,1.03910776855382,0.263,0.224,4.28833957218622e-18,"Monocyte_CD14highCD16low","ALPK1"
"TNKS",1.32012336947342e-22,0.735945390821355,0.274,0.234,4.54782500783591e-18,"Monocyte_CD14highCD16low","TNKS"
"PCBP1",1.6817666733596e-22,0.283270931828682,0.764,0.87,5.79368618972383e-18,"Monocyte_CD14highCD16low","PCBP1"
"EP300",1.86252815828671e-22,0.495615856886581,0.499,0.506,6.41640950529773e-18,"Monocyte_CD14highCD16low","EP300"
"BRWD1",2.01210816073685e-22,0.738037009608542,0.329,0.3,6.93171261373846e-18,"Monocyte_CD14highCD16low","BRWD1"
"AC007952.4",4.50712010860911e-22,0.649404155459717,0.403,0.394,1.55270287741584e-17,"Monocyte_CD14highCD16low","AC007952.4"
"KIAA0232",4.74921920421674e-22,0.805256442316724,0.327,0.301,1.63610601585267e-17,"Monocyte_CD14highCD16low","KIAA0232"
"RERE",4.99122541755265e-22,0.522186358166438,0.407,0.376,1.71947715634689e-17,"Monocyte_CD14highCD16low","RERE"
"SCPEP1",5.00767677299896e-22,0.538874162397953,0.511,0.543,1.72514464829814e-17,"Monocyte_CD14highCD16low","SCPEP1"
"MAP2K4",7.50545143288504e-22,0.905731590307944,0.253,0.214,2.5856280186289e-17,"Monocyte_CD14highCD16low","MAP2K4"
"RPS6KA5",8.97055808176915e-22,0.941025654318485,0.284,0.25,3.09035725916947e-17,"Monocyte_CD14highCD16low","RPS6KA5"
"HMBOX1",9.0046529135625e-22,0.712440533018175,0.289,0.254,3.10210292872228e-17,"Monocyte_CD14highCD16low","HMBOX1"
"SPPL3",1.08588570041128e-21,0.631939504990876,0.375,0.348,3.74087623791686e-17,"Monocyte_CD14highCD16low","SPPL3"
"RCSD1",1.40824267216536e-21,0.505981028737474,0.575,0.636,4.85139600560968e-17,"Monocyte_CD14highCD16low","RCSD1"
"SEMA4D",1.76075510894319e-21,0.769873433680132,0.388,0.373,6.0658013503093e-17,"Monocyte_CD14highCD16low","SEMA4D"
"AVL9",2.10086970769528e-21,0.679550328519101,0.316,0.281,7.23749614301025e-17,"Monocyte_CD14highCD16low","AVL9"
"SP1",2.61002141026988e-21,0.702312924858803,0.301,0.271,8.99152375837972e-17,"Monocyte_CD14highCD16low","SP1"
"PACS1",2.62552126472366e-21,0.777776763967983,0.34,0.309,9.044920756973e-17,"Monocyte_CD14highCD16low","PACS1"
"SMAD3",2.78131981977345e-21,0.747567545129096,0.254,0.217,9.58164677911954e-17,"Monocyte_CD14highCD16low","SMAD3"
"SERTAD2",2.96054560353841e-21,0.777214220814611,0.308,0.283,1.01990796041898e-16,"Monocyte_CD14highCD16low","SERTAD2"
"SOS1",6.28665081960717e-21,0.520851308462584,0.361,0.324,2.16575120735467e-16,"Monocyte_CD14highCD16low","SOS1"
"SETX",8.59215442214656e-21,0.511300398402578,0.524,0.538,2.95999719842949e-16,"Monocyte_CD14highCD16low","SETX"
"CANX",1.23793661285187e-20,0.479692879551386,0.539,0.583,4.26469163127468e-16,"Monocyte_CD14highCD16low","CANX"
"FLI1",1.25082295590899e-20,0.503650452492606,0.548,0.579,4.30908508310647e-16,"Monocyte_CD14highCD16low","FLI1"
"JUND",1.42947448152763e-20,0.318231231789082,0.768,0.817,4.92453958886268e-16,"Monocyte_CD14highCD16low","JUND"
"DYNC1LI2",1.4750061742186e-20,0.812296714247243,0.255,0.223,5.08139627018308e-16,"Monocyte_CD14highCD16low","DYNC1LI2"
"NT5C3A",1.48001884725979e-20,0.267204023248829,0.274,0.353,5.09866492880998e-16,"Monocyte_CD14highCD16low","NT5C3A"
"KCNE3",1.66020354005429e-20,0.651321558381542,0.387,0.378,5.71940119548703e-16,"Monocyte_CD14highCD16low","KCNE3"
"COPA",1.89753293857276e-20,0.622091908347425,0.421,0.416,6.53700097338315e-16,"Monocyte_CD14highCD16low","COPA"
"DYM",2.02951460971573e-20,0.512559319719185,0.362,0.329,6.99167783047068e-16,"Monocyte_CD14highCD16low","DYM"
"SP100",2.23105507194767e-20,0.603362190138512,0.561,0.613,7.68598472285973e-16,"Monocyte_CD14highCD16low","SP100"
"TRAPPC9",2.33563362848262e-20,0.473822469567667,0.318,0.275,8.04625785012262e-16,"Monocyte_CD14highCD16low","TRAPPC9"
"UBAC2",2.58113559380121e-20,0.605996830383367,0.427,0.421,8.89201212064517e-16,"Monocyte_CD14highCD16low","UBAC2"
"MICOS10",2.73103327623992e-20,0.401049172469638,0.286,0.229,9.40840963664653e-16,"Monocyte_CD14highCD16low","MICOS10"
"RNF19B",4.16973354413455e-20,0.783810831680715,0.25,0.215,1.43647320595435e-15,"Monocyte_CD14highCD16low","RNF19B"
"LPP",6.61804352714975e-20,0.427241726082656,0.498,0.481,2.27991599510309e-15,"Monocyte_CD14highCD16low","LPP"
"TFCP2",8.3209738504634e-20,0.528626084941036,0.333,0.3,2.86657549148464e-15,"Monocyte_CD14highCD16low","TFCP2"
"NACC2",1.16630719031374e-19,0.642427821303804,0.334,0.309,4.01792827063082e-15,"Monocyte_CD14highCD16low","NACC2"
"CUL3",1.42555889132981e-19,0.549708375801006,0.445,0.434,4.9110503806312e-15,"Monocyte_CD14highCD16low","CUL3"
"UBXN7",1.68857450774237e-19,0.752202339141069,0.276,0.244,5.81713917917246e-15,"Monocyte_CD14highCD16low","UBXN7"
"PHIP",1.91230168925977e-19,0.546876765736954,0.517,0.547,6.5878793194999e-15,"Monocyte_CD14highCD16low","PHIP"
"RIT1",3.26798414802853e-19,0.822683693038611,0.274,0.246,1.12582053899583e-14,"Monocyte_CD14highCD16low","RIT1"
"RNF111",3.74836577499702e-19,0.63109814984714,0.346,0.319,1.29131200948647e-14,"Monocyte_CD14highCD16low","RNF111"
"CDK13",5.00227211940469e-19,0.60720214088698,0.42,0.413,1.72328274513492e-14,"Monocyte_CD14highCD16low","CDK13"
"RETN",6.18768394591495e-19,0.814744300061551,0.36,0.337,2.1316571193677e-14,"Monocyte_CD14highCD16low","RETN"
"EVI5",6.64509475027106e-19,0.377757144831043,0.482,0.471,2.28923514146838e-14,"Monocyte_CD14highCD16low","EVI5"
"WDR7",1.0878388775554e-18,0.538307001887065,0.283,0.244,3.74760493317836e-14,"Monocyte_CD14highCD16low","WDR7"
"TOP1",1.75013151661956e-18,0.555671487680607,0.503,0.524,6.02920307475438e-14,"Monocyte_CD14highCD16low","TOP1"
"RSBN1L",2.61111653598957e-18,0.262769804500995,0.327,0.413,8.99529646648408e-14,"Monocyte_CD14highCD16low","RSBN1L"
"TLR4",2.6752338877455e-18,0.654794660120527,0.393,0.386,9.21618074328325e-14,"Monocyte_CD14highCD16low","TLR4"
"TRAPPC8",3.09807852057472e-18,0.678066411623208,0.284,0.25,1.06728805033799e-13,"Monocyte_CD14highCD16low","TRAPPC8"
"CORO1C",3.47044166119308e-18,0.596264437980226,0.426,0.432,1.19556715228102e-13,"Monocyte_CD14highCD16low","CORO1C"
"FRYL",3.5598978450781e-18,0.509054645655035,0.409,0.388,1.2263848076294e-13,"Monocyte_CD14highCD16low","FRYL"
"ITFG1",3.65649645924252e-18,0.483880823588963,0.395,0.373,1.25966303020905e-13,"Monocyte_CD14highCD16low","ITFG1"
"TRAPPC5",3.92214492547179e-18,0.611571327603652,0.375,0.36,1.35117892682503e-13,"Monocyte_CD14highCD16low","TRAPPC5"
"AAK1",3.9961431848529e-18,0.692793091777776,0.419,0.422,1.37667132718182e-13,"Monocyte_CD14highCD16low","AAK1"
"LCOR",4.17910290618765e-18,0.592951482947365,0.39,0.373,1.43970095118165e-13,"Monocyte_CD14highCD16low","LCOR"
"BICRAL",4.82200787449895e-18,0.633811254726684,0.284,0.249,1.66118171276489e-13,"Monocyte_CD14highCD16low","BICRAL"
"SUSD6",5.46346631837077e-18,0.600782815490299,0.394,0.38,1.88216414667873e-13,"Monocyte_CD14highCD16low","SUSD6"
"CEP85L",8.56467813945364e-18,0.712417852811829,0.326,0.304,2.95053161904178e-13,"Monocyte_CD14highCD16low","CEP85L"
"ST8SIA4",8.96749047279984e-18,0.838080018370395,0.403,0.4,3.08930046787954e-13,"Monocyte_CD14highCD16low","ST8SIA4"
"DLG1",9.02121369602399e-18,0.623868910221976,0.301,0.272,3.10780811828026e-13,"Monocyte_CD14highCD16low","DLG1"
"SMAD4",1.12151845561846e-17,0.72644321094139,0.254,0.223,3.86363107960558e-13,"Monocyte_CD14highCD16low","SMAD4"
"DHRSX",1.26598469108048e-17,0.835889675283371,0.279,0.251,4.36131726077225e-13,"Monocyte_CD14highCD16low","DHRSX"
"DAZAP2",1.6234461953749e-17,0.32530395853568,0.758,0.849,5.59277214306653e-13,"Monocyte_CD14highCD16low","DAZAP2"
"RIC1",2.5062800155485e-17,0.534827086295784,0.348,0.321,8.6341346535646e-13,"Monocyte_CD14highCD16low","RIC1"
"GABARAPL1",3.1517156721583e-17,0.252714876867264,0.195,0.252,1.08576604905853e-12,"Monocyte_CD14highCD16low","GABARAPL1"
"RBL2",3.15881831758049e-17,0.800001387512128,0.326,0.308,1.08821291040648e-12,"Monocyte_CD14highCD16low","RBL2"
"MAN1A1",3.73971592905505e-17,0.752882011800897,0.299,0.274,1.28833213755946e-12,"Monocyte_CD14highCD16low","MAN1A1"
"KAT6A",3.94714237296392e-17,0.597841497934666,0.407,0.392,1.35979054748607e-12,"Monocyte_CD14highCD16low","KAT6A"
"ACSL4",4.60773593021044e-17,0.719436633149773,0.388,0.379,1.5873650279575e-12,"Monocyte_CD14highCD16low","ACSL4"
"FOSB",5.47020196942712e-17,0.691069129826763,0.444,0.46,1.88448457846764e-12,"Monocyte_CD14highCD16low","FOSB"
"FAM49B",5.65756310749651e-17,0.399791315995021,0.747,0.851,1.94903049053255e-12,"Monocyte_CD14highCD16low","FAM49B"
"GOLGA4",6.32784695508009e-17,0.588067944991238,0.393,0.386,2.17994327602509e-12,"Monocyte_CD14highCD16low","GOLGA4"
"TNRC6A",7.86834730699168e-17,0.571543436924268,0.348,0.327,2.71064564725863e-12,"Monocyte_CD14highCD16low","TNRC6A"
"PBRM1",8.14528696171771e-17,0.549550912470995,0.397,0.39,2.80605135831175e-12,"Monocyte_CD14highCD16low","PBRM1"
"UBE2E3",8.17305193544662e-17,0.269836676806818,0.318,0.405,2.81561639176136e-12,"Monocyte_CD14highCD16low","UBE2E3"
"IFRD1",1.28378845824016e-16,0.286467634823405,0.322,0.404,4.42265123863734e-12,"Monocyte_CD14highCD16low","IFRD1"
"DPH3",1.39967818426098e-16,0.266535709983932,0.235,0.299,4.82189134477906e-12,"Monocyte_CD14highCD16low","DPH3"
"MBD4",1.94445831510663e-16,0.81277023549546,0.257,0.232,6.69865889554235e-12,"Monocyte_CD14highCD16low","MBD4"
"RAB1A",2.52424273734372e-16,0.524833332815625,0.535,0.576,8.69601623014912e-12,"Monocyte_CD14highCD16low","RAB1A"
"SFPQ",3.30266780077216e-16,0.363139563011933,0.577,0.625,1.13776905736601e-11,"Monocyte_CD14highCD16low","SFPQ"
"WNK1",3.71855408997032e-16,0.447078492905475,0.544,0.571,1.28104188399477e-11,"Monocyte_CD14highCD16low","WNK1"
"RAD23B",3.77420983849192e-16,0.630129064357663,0.407,0.411,1.30021528936047e-11,"Monocyte_CD14highCD16low","RAD23B"
"FNIP1",4.09763076310311e-16,0.758308222061992,0.44,0.461,1.41163379788902e-11,"Monocyte_CD14highCD16low","FNIP1"
"ARMH3",4.64699004151096e-16,0.553219459721386,0.313,0.286,1.60088806930053e-11,"Monocyte_CD14highCD16low","ARMH3"
"UBE2K",5.11278554997625e-16,0.499958614052342,0.47,0.486,1.76135462196682e-11,"Monocyte_CD14highCD16low","UBE2K"
"TRIO",5.13102328385357e-16,0.463412697844304,0.329,0.3,1.76763752128756e-11,"Monocyte_CD14highCD16low","TRIO"
"ZBTB20",5.24837213141223e-16,0.374790651452029,0.437,0.412,1.80806419927151e-11,"Monocyte_CD14highCD16low","ZBTB20"
"CASC4",6.6901403355892e-16,0.68966022014136,0.319,0.302,2.30475334561048e-11,"Monocyte_CD14highCD16low","CASC4"
"TRIM25",7.04716946912682e-16,0.871910095211316,0.26,0.235,2.42774988211419e-11,"Monocyte_CD14highCD16low","TRIM25"
"DHRS7",7.85751971232893e-16,0.250367172643624,0.378,0.474,2.70691554089732e-11,"Monocyte_CD14highCD16low","DHRS7"
"PDZD8",8.33618886216203e-16,0.687000640097994,0.266,0.235,2.87181706301482e-11,"Monocyte_CD14highCD16low","PDZD8"
"MECP2",9.28868126516926e-16,0.255740046098149,0.283,0.353,3.19995069585081e-11,"Monocyte_CD14highCD16low","MECP2"
"MBNL2",1.12188804439749e-15,0.571709302751379,0.268,0.238,3.86490431294936e-11,"Monocyte_CD14highCD16low","MBNL2"
"RIPOR2",1.92307641377241e-15,0.399146250088024,0.728,0.805,6.62499824544594e-11,"Monocyte_CD14highCD16low","RIPOR2"
"COG5",2.22511724551711e-15,0.488876472580919,0.344,0.315,7.66552891080646e-11,"Monocyte_CD14highCD16low","COG5"
"TRIM22",2.46547328960189e-15,0.253499234022795,0.407,0.501,8.4935554826785e-11,"Monocyte_CD14highCD16low","TRIM22"
"RAB18",2.50644545253926e-15,0.267366674069709,0.321,0.403,8.63470458399774e-11,"Monocyte_CD14highCD16low","RAB18"
"TOMM6",2.62576431093015e-15,0.355189220445166,0.27,0.225,9.04575805115438e-11,"Monocyte_CD14highCD16low","TOMM6"
"ATP6V1B2",2.83597959593522e-15,0.497387462419141,0.508,0.544,9.76994970799682e-11,"Monocyte_CD14highCD16low","ATP6V1B2"
"BRWD3",3.01216016354711e-15,0.733715134155398,0.263,0.235,1.03768917634198e-10,"Monocyte_CD14highCD16low","BRWD3"
"MX1",3.52437161618677e-15,0.39219199346352,0.258,0.321,1.21414602177634e-10,"Monocyte_CD14highCD16low","MX1"
"FNBP1",3.9716101937526e-15,0.456018586507629,0.577,0.634,1.36821971174777e-10,"Monocyte_CD14highCD16low","FNBP1"
"ANKRD11",4.78416465558127e-15,0.391053942555028,0.532,0.556,1.64814472384775e-10,"Monocyte_CD14highCD16low","ANKRD11"
"MDM2",5.00155043462673e-15,0.636627258635975,0.292,0.269,1.72303412472891e-10,"Monocyte_CD14highCD16low","MDM2"
"TMEM123",6.08538443641748e-15,0.469917501116809,0.6,0.658,2.09641493834582e-10,"Monocyte_CD14highCD16low","TMEM123"
"GRB2",6.1247337383259e-15,0.31172808438763,0.715,0.825,2.10997077285327e-10,"Monocyte_CD14highCD16low","GRB2"
"NSF",7.45314473368012e-15,0.704683207786351,0.255,0.229,2.5676083607528e-10,"Monocyte_CD14highCD16low","NSF"
"CIITA",8.17244570951176e-15,0.624540337335682,0.287,0.263,2.8154075469268e-10,"Monocyte_CD14highCD16low","CIITA"
"SSBP3",1.08593159162569e-14,0.641867371232677,0.252,0.227,3.74103433315049e-10,"Monocyte_CD14highCD16low","SSBP3"
"PDS5B",1.12928248077318e-14,0.560056448827711,0.374,0.363,3.89037814626362e-10,"Monocyte_CD14highCD16low","PDS5B"
"ADAM10",1.35422594288956e-14,0.309180062702592,0.549,0.575,4.66530837325452e-10,"Monocyte_CD14highCD16low","ADAM10"
"RNF138",1.41075866100258e-14,0.657836144499095,0.371,0.365,4.8600635871539e-10,"Monocyte_CD14highCD16low","RNF138"
"LITAF",1.69984728885667e-14,0.791314662091118,0.47,0.474,5.85597391011124e-10,"Monocyte_CD14highCD16low","LITAF"
"ASXL2",2.02213748445435e-14,0.617287690503871,0.315,0.293,6.96626363394524e-10,"Monocyte_CD14highCD16low","ASXL2"
"AGO3",2.3598641467351e-14,0.562465530064485,0.359,0.342,8.12973198550241e-10,"Monocyte_CD14highCD16low","AGO3"
"FEZ2",2.40066524969681e-14,0.682789694139521,0.319,0.305,8.27029178520553e-10,"Monocyte_CD14highCD16low","FEZ2"
"TNFRSF1A",3.00156303236371e-14,0.638577565948201,0.402,0.407,1.0340384646493e-09,"Monocyte_CD14highCD16low","TNFRSF1A"
"DDX60L",3.13048256835018e-14,0.874844490461444,0.381,0.377,1.07845124479664e-09,"Monocyte_CD14highCD16low","DDX60L"
"CHPT1",3.50852132552672e-14,0.678862352731733,0.271,0.247,1.20868559664395e-09,"Monocyte_CD14highCD16low","CHPT1"
"TRPM7",3.66910226484101e-14,0.606693929104847,0.296,0.271,1.26400573023773e-09,"Monocyte_CD14highCD16low","TRPM7"
"PBX3",3.98486388806681e-14,0.560947163722041,0.293,0.264,1.37278560943902e-09,"Monocyte_CD14highCD16low","PBX3"
"TLK1",5.77518361336551e-14,0.59540935380795,0.352,0.337,1.98955075480442e-09,"Monocyte_CD14highCD16low","TLK1"
"BNIP2",6.1184368607134e-14,0.51726352707055,0.498,0.536,2.10780149851577e-09,"Monocyte_CD14highCD16low","BNIP2"
"SKAP2",6.609855618485e-14,0.410502407363257,0.627,0.706,2.27709526056808e-09,"Monocyte_CD14highCD16low","SKAP2"
"RICTOR",7.00034048971518e-14,0.822514502286703,0.408,0.41,2.41161729870688e-09,"Monocyte_CD14highCD16low","RICTOR"
"CTBS",7.67160808493108e-14,0.290509079451779,0.339,0.42,2.64286898525876e-09,"Monocyte_CD14highCD16low","CTBS"
"ROCK2",9.35364840378066e-14,0.616540623782299,0.278,0.254,3.22233187510244e-09,"Monocyte_CD14highCD16low","ROCK2"
"MRPL33",9.58125884684373e-14,0.534683765571846,0.525,0.576,3.30074367273767e-09,"Monocyte_CD14highCD16low","MRPL33"
"GAPVD1",1.19657676604462e-13,0.615396862636761,0.319,0.301,4.1222069590237e-09,"Monocyte_CD14highCD16low","GAPVD1"
"TMEM205",1.40161965107104e-13,0.693558322007726,0.323,0.315,4.82857969793974e-09,"Monocyte_CD14highCD16low","TMEM205"
"USP4",1.43812221265782e-13,0.698856795659867,0.346,0.336,4.9543310226062e-09,"Monocyte_CD14highCD16low","USP4"
"ZC3HAV1",1.57518160114276e-13,0.330140172635742,0.382,0.47,5.4265006159368e-09,"Monocyte_CD14highCD16low","ZC3HAV1"
"YWHAG",1.59910604803651e-13,0.558881368351555,0.366,0.359,5.50892033548579e-09,"Monocyte_CD14highCD16low","YWHAG"
"RCOR3",2.31359934539468e-13,0.754647005747362,0.252,0.23,7.97034974488466e-09,"Monocyte_CD14highCD16low","RCOR3"
"SLK",3.08053441947856e-13,0.773071740936274,0.258,0.237,1.06124410751036e-08,"Monocyte_CD14highCD16low","SLK"
"NCOA3",3.25299672900918e-13,0.400979767271433,0.481,0.485,1.12065737314366e-08,"Monocyte_CD14highCD16low","NCOA3"
"CNOT8",3.44958051430806e-13,0.686482882729511,0.291,0.273,1.18838048717913e-08,"Monocyte_CD14highCD16low","CNOT8"
